Dates,V2,V3,V4,V5,V6,V7,V8
Friday 12th January 2024,3,31,34,43,45,6,9
Tuesday 9th January 2024,9,12,26,41,47,7,10
Friday 5th January 2024,11,30,32,45,47,3,10
Tuesday 2nd January 2024,19,26,36,48,49,10,11
Friday 29th December 2023,2,21,34,40,48,2,6
Tuesday 26th December 2023,4,13,16,22,27,1,10
Friday 22nd December 2023,4,6,12,31,38,2,12
Tuesday 19th December 2023,4,6,17,31,45,6,12
Friday 15th December 2023,7,15,17,18,39,1,10
Tuesday 12th December 2023,2,8,20,34,40,9,12
Friday 8th December 2023,2,8,28,32,37,3,6
Tuesday 5th December 2023,6,11,16,26,49,2,9
Friday 1st December 2023,23,32,38,45,49,1,9
Tuesday 28th November 2023,11,12,13,23,36,3,8
Friday 24th November 2023,16,27,33,34,39,2,7
Tuesday 21st November 2023,9,20,21,22,38,3,12
Friday 17th November 2023,4,14,15,20,28,7,9
Tuesday 14th November 2023,9,30,34,38,48,2,3
Friday 10th November 2023,1,17,22,29,31,5,6
Tuesday 7th November 2023,26,36,43,47,49,4,7
Friday 3rd November 2023,6,21,23,31,39,1,5
Tuesday 31st October 2023,6,15,21,34,48,1,5
Friday 27th October 2023,6,13,15,20,40,2,8
Tuesday 24th October 2023,5,14,35,40,47,1,3
Friday 20th October 2023,11,16,22,34,46,2,5
Tuesday 17th October 2023,6,8,42,49,50,3,5
Friday 13th October 2023,16,23,30,37,41,2,9
Tuesday 10th October 2023,7,8,12,21,43,4,11
Friday 6th October 2023,17,18,40,43,50,9,11
Tuesday 3rd October 2023,13,28,29,31,47,8,9
Friday 29th September 2023,14,24,29,45,48,3,9
Tuesday 26th September 2023,23,24,38,42,44,1,10
Friday 22nd September 2023,14,24,31,44,45,7,11
Tuesday 19th September 2023,8,18,26,38,39,4,12
Friday 15th September 2023,3,8,10,31,36,2,3
Tuesday 12th September 2023,5,13,43,45,50,1,10
Friday 8th September 2023,21,29,31,46,49,5,6
Tuesday 5th September 2023,9,11,13,15,25,4,9
Friday 1st September 2023,1,13,16,23,27,10,11
Tuesday 29th August 2023,14,18,20,39,42,6,9
Friday 25th August 2023,2,5,11,27,38,10,12
Tuesday 22nd August 2023,8,40,41,46,47,3,11
Friday 18th August 2023,2,16,22,28,46,4,8
Tuesday 15th August 2023,12,21,23,26,41,5,6
Friday 11th August 2023,1,35,36,38,39,3,10
Tuesday 8th August 2023,6,12,25,31,37,6,9
Friday 4th August 2023,3,17,19,32,38,6,7
Tuesday 1st August 2023,2,9,38,40,44,5,11
Friday 28th July 2023,10,16,34,36,49,3,7
Tuesday 25th July 2023,3,9,11,20,39,2,3
Friday 21st July 2023,7,16,22,38,41,5,9
Tuesday 18th July 2023,14,16,24,40,43,1,5
Friday 14th July 2023,2,4,12,31,50,6,8
