Dates,V2,V3,V4,V5,V6,V7,V8
Friday 31st December 2004,7,8,24,25,47,8,9
Friday 24th December 2004,3,4,27,29,37,5,6
Friday 17th December 2004,15,19,22,46,49,2,9
Friday 10th December 2004,1,3,13,16,43,2,7
Friday 3rd December 2004,1,11,15,42,49,3,4
Friday 26th November 2004,1,4,24,34,36,6,8
Friday 19th November 2004,1,18,29,34,37,2,6
Friday 12th November 2004,4,11,12,13,32,3,9
Friday 5th November 2004,6,19,25,42,49,1,7
Friday 29th October 2004,1,8,32,35,38,4,9
Friday 22nd October 2004,1,9,23,25,40,3,9
Friday 15th October 2004,14,21,22,37,43,5,8
Friday 8th October 2004,1,10,12,16,48,2,6
Friday 1st October 2004,12,20,21,45,48,5,6
Friday 24th September 2004,21,26,27,44,48,1,7
Friday 17th September 2004,15,18,29,39,41,5,8
Friday 10th September 2004,5,25,33,36,38,2,5
Friday 3rd September 2004,8,12,14,15,34,6,7
Friday 27th August 2004,1,11,22,28,44,1,9
Friday 20th August 2004,6,9,10,27,35,6,8
Friday 13th August 2004,20,27,41,43,50,5,8
Friday 6th August 2004,5,15,24,35,44,5,6
Friday 30th July 2004,9,10,19,37,50,1,6
Friday 23rd July 2004,7,10,27,31,34,3,8
Friday 16th July 2004,24,26,31,38,50,5,8
Friday 9th July 2004,2,5,12,19,44,8,9
Friday 2nd July 2004,4,23,24,28,34,1,3
Friday 25th June 2004,3,21,30,34,35,1,2
Friday 18th June 2004,2,23,28,40,43,2,6
Friday 11th June 2004,2,7,8,10,47,1,7
Friday 4th June 2004,9,13,34,41,42,3,7
Friday 28th May 2004,6,11,35,41,44,5,6
Friday 21st May 2004,15,29,37,39,49,4,9
Friday 14th May 2004,1,3,21,32,39,2,6
Friday 7th May 2004,15,16,21,36,38,1,5
Friday 30th April 2004,5,6,16,23,27,6,7
Friday 23rd April 2004,6,10,21,45,49,3,5
Friday 16th April 2004,14,15,28,35,40,1,3
Friday 9th April 2004,1,4,10,19,23,2,8
Friday 2nd April 2004,4,12,24,27,36,2,9
Friday 26th March 2004,3,4,10,23,43,2,4
Friday 19th March 2004,33,36,37,42,45,4,9
Friday 12th March 2004,15,24,28,44,47,4,5
Friday 5th March 2004,4,7,33,37,39,1,5
Friday 27th February 2004,14,18,19,31,37,4,5
Friday 20th February 2004,7,13,39,47,50,2,5
Friday 13th February 2004,16,29,32,36,41,7,9
Friday 30th December 2005,8,16,19,43,45,1,4
Friday 23rd December 2005,15,31,36,37,42,1,7
Friday 16th December 2005,2,3,15,18,32,6,7
Friday 9th December 2005,11,18,35,38,42,1,5
Friday 2nd December 2005,1,9,20,23,30,4,7
Friday 25th November 2005,1,6,27,39,47,1,6
Friday 18th November 2005,17,18,25,34,48,2,3
Friday 11th November 2005,15,16,36,41,42,3,5
Friday 4th November 2005,26,36,37,38,42,2,6
Friday 28th October 2005,14,36,44,47,50,3,5
Friday 21st October 2005,1,14,19,29,33,1,8
Friday 14th October 2005,10,11,19,20,23,1,6
Friday 7th October 2005,2,13,21,26,44,3,9
Friday 30th September 2005,6,11,47,48,50,1,6
Friday 23rd September 2005,1,26,31,34,47,4,9
Friday 16th September 2005,12,13,19,21,38,3,9
Friday 9th September 2005,8,12,19,31,50,6,7
Friday 2nd September 2005,3,4,14,43,50,3,6
Friday 26th August 2005,9,29,35,40,41,1,6
Friday 19th August 2005,11,24,29,31,41,1,3
Friday 12th August 2005,15,23,30,37,40,7,9
Friday 5th August 2005,2,11,21,22,30,4,6
Friday 29th July 2005,3,19,26,49,50,4,5
Friday 22nd July 2005,3,14,41,48,49,1,4
Friday 15th July 2005,1,11,12,23,42,3,6
Friday 8th July 2005,35,36,42,46,49,2,8
Friday 1st July 2005,4,5,23,25,28,3,4
Friday 24th June 2005,6,8,14,15,45,7,8
Friday 17th June 2005,4,8,10,18,21,1,7
Friday 10th June 2005,6,7,32,37,47,1,7
Friday 3rd June 2005,3,8,11,17,50,1,5
Friday 27th May 2005,2,24,31,48,50,4,9
Friday 20th May 2005,6,7,13,28,47,5,8
Friday 13th May 2005,12,17,31,32,40,2,9
Friday 6th May 2005,7,12,21,26,44,6,8
Friday 29th April 2005,3,9,35,39,42,1,8
Friday 22nd April 2005,3,10,13,24,47,5,9
Friday 15th April 2005,6,28,31,38,42,3,9
Friday 8th April 2005,7,11,25,31,50,1,3
Friday 1st April 2005,25,26,41,44,47,3,7
Friday 25th March 2005,4,29,33,37,38,6,9
Friday 18th March 2005,6,23,39,43,48,5,7
Friday 11th March 2005,8,12,23,40,43,1,4
Friday 4th March 2005,12,24,32,37,39,7,9
Friday 25th February 2005,3,27,30,43,44,4,8
Friday 18th February 2005,20,21,26,32,46,8,9
Friday 11th February 2005,11,13,25,32,50,4,7
Friday 4th February 2005,1,8,11,30,40,7,8
Friday 28th January 2005,7,21,26,43,45,5,7
Friday 21st January 2005,10,12,14,24,26,5,8
Friday 14th January 2005,6,11,14,19,29,1,3
Friday 7th January 2005,3,23,27,47,50,2,3
Friday 29th December 2006,6,9,13,14,35,3,4
Friday 22nd December 2006,9,11,20,38,43,2,3
Friday 15th December 2006,9,23,35,37,42,3,7
Friday 8th December 2006,16,17,18,36,47,1,2
Friday 1st December 2006,4,8,16,37,41,2,5
Friday 24th November 2006,5,8,17,25,40,1,5
Friday 17th November 2006,12,22,32,33,36,2,6
Friday 10th November 2006,14,21,27,30,36,2,3
Friday 3rd November 2006,11,13,24,44,49,3,9
Friday 27th October 2006,3,4,8,44,50,7,8
Friday 20th October 2006,10,19,34,45,47,3,6
Friday 13th October 2006,2,25,32,38,41,3,5
Friday 6th October 2006,5,11,22,35,38,7,8
Friday 29th September 2006,1,3,6,18,24,5,8
Friday 22nd September 2006,10,29,30,45,49,3,8
Friday 15th September 2006,6,10,16,26,49,7,9
Friday 8th September 2006,1,10,12,32,33,1,8
Friday 1st September 2006,3,7,25,45,50,6,9
Friday 25th August 2006,10,28,40,47,48,6,8
Friday 18th August 2006,12,37,39,40,50,1,2
Friday 11th August 2006,27,28,31,46,47,2,5
Friday 4th August 2006,1,14,15,26,32,3,7
Friday 28th July 2006,3,8,12,29,43,6,7
Friday 21st July 2006,2,4,9,38,50,6,8
Friday 14th July 2006,1,7,17,31,36,2,8
Friday 7th July 2006,7,9,18,35,43,5,7
Friday 30th June 2006,6,15,16,40,43,1,2
Friday 23rd June 2006,9,21,30,43,44,1,9
